Epoch,Train_Loss,Val_Recall_1,Learning_Rate,Is_Best_Model
3,0.1476,75.37,0.000050,True
4,0.1132,78.25,0.000050,True
5,0.0968,72.41,0.000049,False
6,0.0878,79.15,0.000049,True
7,0.0840,79.52,0.000049,True
8,0.0782,80.74,0.000048,True
9,0.0752,82.09,0.000047,True
10,0.0721,78.81,0.000047,False
11,0.0674,82.41,0.000046,True
12,0.0703,81.69,0.000045,False
13,0.0656,76.96,0.000044,False
14,0.0641,78.54,0.000043,False
15,0.0649,82.51,0.000042,True
16,0.0580,80.45,0.000041,False
17,0.0580,84.63,0.000040,True
18,0.0612,84.74,0.000038,True
19,0.0583,82.72,0.000037,False
20,0.0583,82.41,0.000036,False
21,0.0581,86.40,0.000034,True
22,0.0536,86.75,0.000033,True
23,0.0580,84.81,0.000031,False
24,0.0566,85.71,0.000030,False
25,0.0552,85.98,0.000028,False
26,0.0551,84.63,0.000026,False
27,0.0567,85.34,0.000025,False
28,0.0554,86.59,0.000023,False
29,0.0520,88.25,0.000022,True
30,0.0531,87.25,0.000020,False
31,0.0532,86.72,0.000019,False
32,0.0509,86.43,0.000017,False
33,0.0512,86.83,0.000016,False
34,0.0506,86.80,0.000014,False
35,0.0517,88.31,0.000013,True
36,0.0506,88.36,0.000012,True
37,0.0490,89.50,0.000010,True
38,0.0510,89.02,0.000009,False
39,0.0516,89.81,0.000008,True
40,0.0499,88.41,0.000007,False
41,0.0512,87.94,0.000006,False
42,0.0494,89.29,0.000005,False
43,0.0479,88.52,0.000004,False
44,0.0508,89.21,0.000003,False
45,0.0491,89.15,0.000002,False
46,0.0480,88.28,0.000002,False
47,0.0477,88.10,0.000001,False
48,0.0509,89.07,0.000001,False
49,0.0502,87.94,0.000000,False
